Transitoin Probabilities
P(X_t+1)=l | X_t=e) 0.0477265172589
P(X_t+1)=o | X_t=e) 0.0094648261866
P(X_t+1)=n | X_t=e) 0.0774856103151
P(X_t+1)=q | X_t=e) 0.00285169439633
P(X_t+1)=p | X_t=e) 0.0108819258559
P(X_t+1)=s | X_t=e) 0.0855158417747
P(X_t+1)=r | X_t=e) 0.114330201718
P(X_t+1)=u | X_t=e) 1.74950576462e-05
P(X_t+1)=t | X_t=e) 0.028831855001
P(X_t+1)=w | X_t=e) 0.000962228170542
P(X_t+1)=v | X_t=e) 0.0179674242027
P(X_t+1)=y | X_t=e) 0.0222187232107
P(X_t+1)=x | X_t=e) 0.0141884917511
P(X_t+1)=z | X_t=e) 1.74950576462e-05
P(X_t+1)=_ | X_t=d) 0.462243429524
P(X_t+1)=a | X_t=d) 0.0184806483375
P(X_t+1)=c | X_t=d) 7.57403620389e-05
P(X_t+1)=b | X_t=d) 7.57403620389e-05
P(X_t+1)=e | X_t=d) 0.208664697417
P(X_t+1)=d | X_t=d) 0.0164356585624
P(X_t+1)=g | X_t=d) 0.00621070968719
P(X_t+1)=f | X_t=d) 7.57403620389e-05
P(X_t+1)=i | X_t=d) 0.0839203211391
P(X_t+1)=h | X_t=d) 7.57403620389e-05
P(X_t+1)=k | X_t=d) 7.57403620389e-05
P(X_t+1)=j | X_t=d) 0.00212073013709
P(X_t+1)=m | X_t=d) 0.00621070968719
P(X_t+1)=l | X_t=d) 0.0123456790123
P(X_t+1)=o | X_t=d) 0.0696053927138
P(X_t+1)=n | X_t=d) 0.00621070968719
P(X_t+1)=q | X_t=d) 7.57403620389e-05
P(X_t+1)=p | X_t=d) 7.57403620389e-05
P(X_t+1)=s | X_t=d) 0.0287055972128
P(X_t+1)=r | X_t=d) 0.0103006892373
P(X_t+1)=u | X_t=d) 0.0491554949633
P(X_t+1)=t | X_t=d) 7.57403620389e-05
P(X_t+1)=w | X_t=d) 0.00212073013709
P(X_t+1)=v | X_t=d) 0.0103006892373
P(X_t+1)=y | X_t=d) 0.00621070968719
P(X_t+1)=x | X_t=d) 7.57403620389e-05
P(X_t+1)=z | X_t=d) 7.57403620389e-05
P(X_t+1)=_ | X_t=g) 0.286790123457
P(X_t+1)=a | X_t=g) 0.0734567901235
P(X_t+1)=c | X_t=g) 0.000123456790123
P(X_t+1)=b | X_t=g) 0.000123456790123
